salary_min_BGP,salary_max_BGP,joblocation,joblocation_num,Internship,education,experience,Average_salary,company_style,company_scale,job_industry,job_classification
20454,34090,Guangzhou,First-tier city,No,College degree,5 years,medium,Private-owned,150-500,Computer Software/Hardware,Senior software engineer
13636,23181,Hangzhou,Other First-tier city,No,College degree,3 years,medium,Private-owned,150-500,E-commerce,Software Engineer
10909,20454,Hangzhou,Other First-tier city,No,Not Required,3 years,medium,Private-owned,150-500,Engineering/Electronic technology,Software Engineer
20454,25000,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Listed,1000-5000,Equipment,Senior software engineer
16363,27272,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,1000-5000,Others,Senior software engineer
8181,10909,Chengdu,Other First-tier city,No,Bachelor,2 years,low,Private-owned,50-150,Finance,Software Engineer
40909,47727,Nanjing,Other First-tier city,No,Bachelor,5 years,medium,Foreign (except EU & US),150-500,Others,Internet Software Development Engineer
8181,16363,Guangzhou,First-tier city,No,College degree,2 years,medium,Private-owned,Less than 50,Service,Software Engineer
27272,34090,Hangzhou,Other First-tier city,No,Bachelor,8 years,medium,Private-owned,50-150,Computer Software/Hardware,Senior software engineer
13636,20454,Hangzhou,Other First-tier city,No,College degree,3 years,medium,Private-owned,500-1000,Finance,Software Engineer
10909,13636,Nanjing,Other First-tier city,No,Bachelor,1 year,medium,Private-owned,150-500,Computer services,Software Engineer
20454,34090,Guangzhou,First-tier city,No,Bachelor,3 years,medium,State-owned,150-500,Communications/Telecommunications/Network equipment,Senior software engineer
13636,24545,Hangzhou,Other First-tier city,No,College degree,5 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Senior software engineer
20454,34090,Hangzhou,Other First-tier city,No,College degree,3 years,medium,Private-owned,50-150,E-commerce,Senior software engineer
20454,27272,Chengdu,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Service,Manager
22000,22000,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Foreign (except EU & US),1000-5000,Equipment,Senior software engineer
13636,20454,Wuxi,Second-tier city,No,Bachelor,Not Required,medium,Private-owned,50-150,Computer Software/Hardware,Software Engineer
13636,20454,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,State-owned,50-150,Gaming,Internet Software Development Engineer
20454,27272,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,Computer Software/Hardware,Senior software engineer
10909,16363,Chengdu,Other First-tier city,No,College degree,2 years,medium,Private-owned,150-500,Computer Software/Hardware,Software Engineer
6818,27272,Nanjing,Other First-tier city,No,Bachelor,1 year,medium,Private-owned,50-150,E-commerce,Senior software engineer
8181,21818,Guangzhou,First-tier city,No,College degree,2 years,medium,Private-owned,50-150,Engineering/Electronic technology,Senior software engineer
13636,27272,Chengdu,Other First-tier city,No,Not Required,3 years,medium,Private-owned,150-500,Finance,Java Developer
20454,27272,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Joint venture,500-1000,E-commerce,Senior software engineer
13636,20454,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Computer Software/Hardware,Software Engineer
10909,16363,Hangzhou,Other First-tier city,No,Bachelor,2 years,medium,Joint venture,5000-10000,Service,Senior software engineer
8181,10909,Chengdu,Other First-tier city,No,Bachelor,2 years,low,Private-owned,50-150,Communications/Telecommunications/Network equipment,Java Developer
20454,27272,Shanghai,First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Computer services,Senior software engineer
20454,27272,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Senior software engineer
8181,20454,Changzhou,Third-tier city,No,Bachelor,Not Required,medium,Private-owned,50-150,Engineering/Electronic technology,Senior software engineer
10909,13636,Ningbo,Second-tier city,No,Bachelor,2 years,medium,Private-owned,500-1000,Computer Software/Hardware,Software Engineer
8181,13636,Hainan Province,Third-tier city,No,College degree,2 years,low,Private-owned,150-500,Computer Software/Hardware,Software Engineer
9545,16363,Guangzhou,First-tier city,No,College degree,1 year,medium,Private-owned,500-1000,Others,Software Engineer
22727,34090,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,500-1000,Equipment,Manager
16363,21818,Hangzhou,Other First-tier city,No,Not Required,3 years,medium,Private-owned,150-500,Engineering/Electronic technology,Software Engineer
10909,20454,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,State-owned,500-1000,Communications/Telecommunications/Network equipment,Software Engineer
2727,4090,Guangzhou,First-tier city,Yes,Bachelor,Fresh graduate,low,Private-owned,Less than 50,E-commerce,Software Engineer
13636,20454,Guangzhou,First-tier city,No,College degree,5 years,medium,Private-owned,50-150,Computer Software/Hardware,Senior software engineer
27272,32727,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,E-commerce,System architect
13636,47727,Chengdu,Other First-tier city,No,College degree,5 years,medium,Private-owned,50-150,Engineering/Electronic technology,Others
6818,13636,Third-tier city,Third-tier city,No,College degree,1 year,low,Private-owned,50-150,Computer Software/Hardware,Senior software engineer
13636,27272,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Equipment,Java Developer
9545,19090,Nanjing,Other First-tier city,No,Bachelor,Fresh graduate,medium,Private-owned,150-500,Others,Software Engineer
10909,15000,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Foreign (except EU & US),50-150,E-commerce,Software Engineer
8181,20454,Nanjing,Other First-tier city,No,College degree,2 years,medium,Private-owned,150-500,E-commerce,Software Engineer
9545,20454,Guangzhou,First-tier city,No,College degree,2 years,medium,Private-owned,50-150,Gaming,Java Developer
22727,34090,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Engineering/Electronic technology,Senior software engineer
8181,10909,Suzhou,Other First-tier city,No,Bachelor,1 year,low,Foreign (except EU & US),50-150,Computer services,Software Engineer
22727,34090,Chengdu,Other First-tier city,No,Bachelor,5 years,medium,Joint venture,50-150,Communications/Telecommunications/Network equipment,System architect
16363,25909,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Education,Senior software engineer
10909,27272,Dongguan,Second-tier city,No,College degree,2 years,medium,Private-owned,500-1000,Computer Software/Hardware,Software Engineer
12272,16363,Suzhou,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Software Engineer
34090,40909,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Foreign(EU & US),1000-5000,Computer Software/Hardware,Software Engineer
13636,20454,Chengdu,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Finance,Software Engineer
8181,10909,Wuxi,Second-tier city,No,College degree,2 years,low,Private-owned,50-150,Equipment,Software Engineer
20454,40909,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,E-commerce,Senior software engineer
10909,13636,Wuxi,Second-tier city,No,Bachelor,2 years,medium,Private-owned,Less than 50,Computer services,Software Engineer
10909,27272,Hangzhou,Other First-tier city,No,College degree,5 years,medium,Private-owned,50-150,Equipment,Software Engineer
20454,27272,Chengdu,Other First-tier city,No,Bachelor,5 years,medium,Joint venture,Over 10k,Computer Software/Hardware,Senior software engineer
20454,27272,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,New,Less than 50,Gaming,Java Developer
17045,22727,Guangzhou,First-tier city,No,Bachelor,2 years,medium,State-owned,5000-10000,Finance,Others
10909,21818,Hangzhou,Other First-tier city,No,Bachelor,2 years,medium,Private-owned,50-150,Computer Software/Hardware,Others
13636,16363,Guangzhou,First-tier city,No,Bachelor,2 years,medium,State-owned,500-1000,Computer services,Senior software engineer
8181,10909,Changzhou,Third-tier city,No,Bachelor,2 years,low,Private-owned,50-150,Equipment,Software Engineer
13636,27272,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Computer services,Software Engineer
10909,13636,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,5000-10000,Service,Software Engineer
8181,10909,Suzhou,Other First-tier city,No,College degree,2 years,low,Private-owned,150-500,Engineering/Electronic technology,Software Engineer
8181,10909,Shanghai,First-tier city,Yes,College degree,1 year,low,Private-owned,50-150,Engineering/Electronic technology,Java Developer
10909,13636,Ningbo,Second-tier city,No,Bachelor,2 years,medium,Listed,150-500,Computer Software/Hardware,Software Engineer
20454,47727,Shanghai,First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Service,Senior software engineer
10909,20454,Dongguan,Second-tier city,No,College degree,3 years,medium,Listed,Over 10k,Service,Software Engineer
13636,20454,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,1000-5000,Others,Software Engineer
20454,27272,Wuxi,Second-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Computer Software/Hardware,Software Engineer
17727,30000,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Communications/Telecommunications/Network equipment,Senior software engineer
8181,12272,Nanjing,Other First-tier city,No,Bachelor,1 year,low,Private-owned,150-500,E-commerce,Software Engineer
9545,15000,Guangzhou,First-tier city,No,Bachelor,1 year,medium,State-owned,1000-5000,Others,Others
10909,13636,Guangzhou,First-tier city,No,Bachelor,2 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Software Engineer
8181,12272,Hangzhou,Other First-tier city,No,Bachelor,1 year,low,Private-owned,Less than 50,Computer services,Software Engineer
22000,22000,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,State-owned,1000-5000,Communications/Telecommunications/Network equipment,Software Engineer
9545,13636,Xiamen,Second-tier city,No,Bachelor,2 years,medium,Private-owned,Less than 50,Computer services,Software Engineer
24545,34090,Hangzhou,Other First-tier city,No,College degree,5 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Internet Software Development Engineer
22000,22000,Nanjing,Other First-tier city,No,College degree,3 years,medium,Private-owned,1000-5000,Communications/Telecommunications/Network equipment,Software Engineer
8181,10909,Foshan,Third-tier city,No,Bachelor,1 year,low,Private-owned,150-500,Finance,Software Engineer
19090,27272,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Foreign(EU & US),500-1000,Computer services,Senior software engineer
12272,20454,Foshan,Third-tier city,No,College degree,2 years,medium,Joint venture,5000-10000,Finance,Software Engineer
12272,20454,Hangzhou,Other First-tier city,No,Bachelor,2 years,medium,Listed,5000-10000,Finance,Software Engineer
10909,16363,Guangzhou,First-tier city,No,Bachelor,3 years,medium,New,Less than 50,Computer services,Senior software engineer
9545,13636,Huizhou,Third-tier city,No,Bachelor,2 years,medium,Private-owned,50-150,Computer Software/Hardware,Internet Software Development Engineer
20454,27272,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Engineering/Electronic technology,System architect
10909,13636,Guangzhou,First-tier city,No,College degree,2 years,medium,Foreign (except EU & US),50-150,Others,Software Engineer
8181,13636,Chengdu,Other First-tier city,No,Bachelor,3 years,low,Private-owned,Less than 50,Communications/Telecommunications/Network equipment,Software Engineer
8181,13636,Wuxi,Second-tier city,No,College degree,2 years,low,State-owned,Less than 50,Finance,Software Engineer
20454,27272,Foshan,Third-tier city,No,Bachelor,2 years,medium,Private-owned,50-150,Computer Software/Hardware,Senior software engineer
10909,13636,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Listed,150-500,Engineering/Electronic technology,Others
17727,23181,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,E-commerce,Senior software engineer
10909,16363,Chengdu,Other First-tier city,No,Bachelor,2 years,medium,Private-owned,50-150,Computer Software/Hardware,ERP
8181,10909,Wuxi,Second-tier city,No,College degree,2 years,low,Private-owned,50-150,Computer services,Software Engineer
13636,21818,Wuxi,Second-tier city,No,Bachelor,2 years,medium,State-owned,150-500,Gaming,Senior software engineer
13636,40909,Foshan,Third-tier city,No,Bachelor,5 years,medium,Private-owned,Less than 50,Computer services,Senior software engineer
12272,20454,Hangzhou,Other First-tier city,No,College degree,2 years,medium,Private-owned,1000-5000,Finance,Senior software engineer
9545,19090,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Joint venture,1000-5000,Engineering/Electronic technology,Software Engineer
13636,20454,Changzhou,Third-tier city,No,College degree,5 years,medium,Private-owned,50-150,E-commerce,Senior software engineer
13636,27272,Suzhou,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,Less than 50,Others,Web front-end development
24545,34090,Chengdu,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Equipment,Senior software engineer
20454,27272,Chongqing,Second-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,Professional service,Senior software engineer
8181,16363,Jiaxing,Third-tier city,No,Bachelor,2 years,medium,Private-owned,1000-5000,Computer Software/Hardware,Software Engineer
13636,20454,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,New,Less than 50,Communications/Telecommunications/Network equipment,Software Engineer
13636,27272,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Computer Software/Hardware,Senior software engineer
23181,47727,Guangzhou,First-tier city,No,College degree,3 years,medium,Private-owned,Less than 50,Professional service,Java Developer
9545,19090,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Computer Software/Hardware,Software Engineer
20454,27272,Guangzhou,First-tier city,No,Bachelor,2 years,medium,Private-owned,Less than 50,Engineering/Electronic technology,Software Engineer
10909,20454,Suzhou,Other First-tier city,No,College degree,5 years,medium,Private-owned,50-150,Equipment,Senior software engineer
8181,10909,Changzhou,Third-tier city,No,Bachelor,1 year,low,New,Less than 50,E-commerce,Java Developer
17727,24545,Hangzhou,Other First-tier city,No,Bachelor,1 year,medium,Private-owned,Less than 50,Engineering/Electronic technology,Senior software engineer
13636,20454,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Engineering/Electronic technology,Java Developer
13636,20454,Guangzhou,First-tier city,No,College degree,3 years,medium,Private-owned,150-500,E-commerce,Software Engineer
15909,22727,Guangzhou,First-tier city,No,Bachelor,2 years,medium,State-owned,50-150,Others,Internet Software Development Engineer
20454,27272,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Engineering/Electronic technology,Senior software engineer
13636,20454,Suzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,E-commerce,Internet Software Development Engineer
13636,20454,Hangzhou,Other First-tier city,No,Not Required,3 years,medium,State-owned,150-500,Equipment,Senior software engineer
8181,16363,Nanjing,Other First-tier city,No,College degree,2 years,medium,Private-owned,50-150,Computer services,Senior software engineer
10909,20454,Guangzhou,First-tier city,No,College degree,3 years,medium,Private-owned,Less than 50,Computer services,Senior software engineer
10909,20454,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Computer Software/Hardware,Java Developer
13636,20454,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Computer services,Java Developer
12272,17727,Ningbo,Second-tier city,No,Bachelor,1 year,medium,Private-owned,500-1000,Service,Software Engineer
10909,13636,Guangzhou,First-tier city,No,College degree,2 years,medium,Private-owned,5000-10000,Others,Internet Software Development Engineer
13636,20454,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Professional service,Internet Software Development Engineer
10909,20454,Ningbo,Second-tier city,No,Bachelor,2 years,medium,Private-owned,50-150,Finance,Senior software engineer
8181,34090,Nanjing,Other First-tier city,No,College degree,3 years,medium,Private-owned,50-150,Others,Internet Software Development Engineer
17727,24545,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Computer Software/Hardware,Senior software engineer
10909,13636,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Joint venture,500-1000,Education,Others
8181,13636,Hangzhou,Other First-tier city,No,Bachelor,3 years,low,Private-owned,150-500,Computer Software/Hardware,Software Engineer
24545,40909,Hangzhou,Other First-tier city,No,College degree,5 years,medium,Private-owned,50-150,E-commerce,Software Engineer
10909,16363,Guangzhou,First-tier city,No,College degree,2 years,medium,Private-owned,Less than 50,Equipment,Senior software engineer
13636,20454,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,E-commerce,Java Developer
16363,24545,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,1000-5000,Others,Software Engineer
27272,34090,Chengdu,Other First-tier city,No,College degree,5 years,medium,Joint venture,150-500,Others,Senior software engineer
9545,16363,Nanjing,Other First-tier city,No,Bachelor,1 year,medium,Private-owned,50-150,Communications/Telecommunications/Network equipment,Software Engineer
6818,10909,Wuxi,Second-tier city,No,College degree,2 years,low,Private-owned,150-500,Engineering/Electronic technology,Java Developer
13636,27272,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Listed,1000-5000,Computer services,Senior software engineer
6136,10909,Huizhou,Third-tier city,No,College degree,2 years,low,Private-owned,50-150,E-commerce,Java Developer
10909,13636,Suzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,Computer services,Software Engineer
13636,27272,Nanjing,Other First-tier city,No,Bachelor,Fresh graduate,medium,Listed,Over 10k,E-commerce,Software Engineer
13636,27272,Suzhou,Other First-tier city,No,Bachelor,2 years,medium,Private-owned,Less than 50,Equipment,Senior software engineer
8181,10909,Wuxi,Second-tier city,No,College degree,1 year,low,Private-owned,50-150,Engineering/Electronic technology,Internet Software Development Engineer
20454,34090,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Foreign (except EU & US),Less than 50,E-commerce,Internet Software Development Engineer
8181,12272,Guangzhou,First-tier city,No,Bachelor,1 year,low,Private-owned,50-150,Computer services,Software Engineer
13636,20454,Hangzhou,Other First-tier city,No,College degree,3 years,medium,Private-owned,50-150,Others,Internet Software Development Engineer
13636,20454,Dongguan,Second-tier city,No,Not Required,3 years,medium,Private-owned,50-150,Computer services,Senior software engineer
20454,27272,Zhongshan,Third-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,E-commerce,Java Developer
10909,13636,Nanjing,Other First-tier city,No,College degree,3 years,medium,Private-owned,50-150,E-commerce,Java Developer
13636,20454,Guangzhou,First-tier city,No,Bachelor,2 years,medium,Private-owned,50-150,Computer Software/Hardware,Software Engineer
13636,20454,Nanjing,Other First-tier city,No,College degree,3 years,medium,Private-owned,150-500,Computer Software/Hardware,Software Engineer
6818,16363,Chengdu,Other First-tier city,No,Bachelor,1 year,medium,Private-owned,50-150,Finance,Software Engineer
9545,13636,Chengdu,Other First-tier city,No,Bachelor,1 year,medium,Foreign (except EU & US),Less than 50,Others,Senior software engineer
10909,13636,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,500-1000,Equipment,Software Engineer
8181,10909,Wenzhou,Third-tier city,No,College degree,3 years,low,Private-owned,50-150,Finance,System architect
6818,9545,Third-tier city,Third-tier city,No,College degree,Not Required,low,Listed,150-500,Education,Internet Software Development Engineer
13636,20454,Guangzhou,First-tier city,No,College degree,3 years,medium,Private-owned,50-150,Computer Software/Hardware,Software Engineer
20454,27272,Hangzhou,Other First-tier city,No,College degree,3 years,medium,Private-owned,150-500,E-commerce,Senior software engineer
13636,20454,Wenzhou,Third-tier city,No,Bachelor,3 years,medium,Private-owned,500-1000,Education,Senior software engineer
13636,24545,Suzhou,Other First-tier city,No,College degree,2 years,medium,Private-owned,50-150,Others,Software Engineer
13636,20454,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Engineering/Electronic technology,Software Engineer
27272,34090,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,Less than 50,Gaming,Senior software engineer
20454,27272,Nanjing,Other First-tier city,No,Bachelor,5 years,medium,Listed,1000-5000,Others,Software Engineer
6818,10909,Guangzhou,First-tier city,No,College degree,2 years,low,Private-owned,Less than 50,Computer Software/Hardware,Software Engineer
13636,27272,Zhuhai,Third-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,E-commerce,Senior software engineer
