jobname,salary_min_BGP,salary_max_BGP,joblocation,Internship,education,experience,Average_salary,company_style,company_scale,job_industry,job_classification,salary_grade,,,,,,,
Java开发实习生,2727,4090,Guangzhou,Yes,Bachelor,Fresh graduate,3408,Private-owned,Less than 50,E-commerce,Software engineer,low,,,,,,,
Java高级开发工程师,13636,20454,Guangzhou,No,College degree,5 years,17045,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
系统架构师java,27272,32727,Guangzhou,No,Bachelor,5 years,29999,Private-owned,50-150,E-commerce,System architect,high,,,,,,,
java服务器主程,13636,47727,Chengdu,No,College degree,5 years,30681,Private-owned,50-150,Electronic technology,Other,high,,,,,,,
Java开发工程师,6818,13636,Third-tier city,No,College degree,1 year,10227,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,low,,,,,,,
Java开发工程师,13636,27272,Guangzhou,No,Bachelor,3 years,20454,Private-owned,150-500,Automobile Accessories,Java Developer,medium,,,,,,,
Java web开发工程师,9545,19090,Nanjing,No,Bachelor,Fresh graduate,14317,Private-owned,150-500,New energy,Software engineer,medium,,,,,,,
Java开发工程师（中级）,10909,15000,Chengdu,No,Bachelor,3 years,12954,Foreign (except EU & US),50-150,E-commerce,Software engineer,medium,,,,,,,
中级Java开发工程师,8181,20454,Nanjing,No,College degree,2 years,14317,Private-owned,150-500,E-commerce,Software engineer,medium,,,,,,,
游戏开发Java,9545,20454,Guangzhou,No,College degree,2 years,14999,Private-owned,50-150,Gaming,Multimedia/Game Development Engineer,medium,,,,,,,
资深Java开发工程师,22727,34090,Nanjing,No,Bachelor,3 years,28408,Private-owned,50-150,Electric,Senior software engineer,high,,,,,,,
软件工程师 (Java）,8181,10909,Suzhou,No,Bachelor,1 year,9545,Foreign (except EU & US),50-150,Computer services,Software engineer,low,,,,,,,
资深JAVA服务器开发工程师,22727,34090,Chengdu,No,Bachelor,5 years,28408,Joint venture,50-150,Communications/Telecommunications/Network equipment,System architect,high,,,,,,,
Java高级开发工程师,16363,25909,Guangzhou,No,Bachelor,5 years,21136,Private-owned,150-500,Education,Senior software engineer,medium,,,,,,,
Java开发工程师,10909,27272,Dongguan,No,College degree,2 years,19090,Private-owned,500-1000,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java开发工程师,12272,16363,Suzhou,No,Bachelor,5 years,14317,Private-owned,Less than 50,Computer Software/Hardware,Software engineer,medium,,,,,,,
Senior Java Software Engineer,34090,40909,Hangzhou,No,Bachelor,3 years,37499,Foreign(EU & US),1000-5000,Computer Software/Hardware,Software engineer,high,,,,,,,
Java开发工程师（天府科技）,13636,20454,Chengdu,No,Bachelor,5 years,17045,Private-owned,150-500,Finance,Software engineer,medium,,,,,,,
Java开发工程师,8181,10909,Wuxi,No,College degree,2 years,9545,Private-owned,50-150,Industrial Automation,Software engineer,low,,,,,,,
JAVA工程师,20454,40909,Nanjing,No,Bachelor,3 years,30681,Private-owned,50-150,E-commerce,Senior software engineer,high,,,,,,,
Java开发工程师,10909,13636,Wuxi,No,Bachelor,2 years,12272,Private-owned,Less than 50,Computer services,Software engineer,medium,,,,,,,
Java开发工程师,10909,27272,Hangzhou,No,College degree,5 years,19090,Private-owned,50-150,Industrial Automation,Software engineer,medium,,,,,,,
Java高级开发,20454,27272,Chengdu,No,Bachelor,5 years,23863,Joint venture,Over 10k,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
游戏服务器JAVA高级工程师,20454,27272,Chengdu,No,Bachelor,3 years,23863,New,Less than 50,Gaming,Multimedia/Game Development Engineer,medium,,,,,,,
Java软件工程师,17045,22727,Guangzhou,No,Bachelor,2 years,19886,State-owned,5000-10000,Insurance,Other,medium,,,,,,,
Java培训讲师,10909,21818,Hangzhou,No,Bachelor,2 years,16363,Private-owned,50-150,Computer Software/Hardware,Lecturer/Teacher,medium,,,,,,,
Java高级开发工程师,13636,16363,Guangzhou,No,Bachelor,2 years,14999,State-owned,500-1000,Computer services,Senior software engineer,medium,,,,,,,
Java开发工程师,8181,10909,Changzhou,No,Bachelor,2 years,9545,Private-owned,50-150,Industrial Automation,Software engineer,low,,,,,,,
Java研发工程师,13636,27272,Nanjing,No,Bachelor,3 years,20454,Private-owned,50-150,Computer services,Software engineer,medium,,,,,,,
Java开发工程师,10909,13636,Guangzhou,No,Bachelor,3 years,12272,Private-owned,5000-10000,Tourism,Software engineer,medium,,,,,,,
Java开发工程师,8181,10909,Suzhou,No,College degree,2 years,9545,Private-owned,150-500,Electronic technology,Software engineer,low,,,,,,,
Java开发实习生/上海,8181,10909,Shanghai,Yes,College degree,1 year,9545,Private-owned,50-150,Electronic technology,System engineer,low,,,,,,,
Java开发（宁波）,10909,13636,Ningbo,No,Bachelor,2 years,12272,Listed,150-500,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java高级开发工程师,20454,47727,Shanghai,No,Bachelor,5 years,34090,Private-owned,150-500,Domestic services,Senior software engineer,high,,,,,,,
Java开发工程师,10909,20454,Dongguan,No,College degree,3 years,15681,Listed,Over 10k,Clothing,Software engineer,medium,,,,,,,
Java开发工程师,13636,20454,Chengdu,No,Bachelor,3 years,17045,Private-owned,1000-5000,Fast moving consumer goods,Software engineer,medium,,,,,,,
Java高级开发工程师,20454,27272,Wuxi,No,Bachelor,3 years,23863,Private-owned,50-150,Computer Software/Hardware,Software engineer,medium,,,,,,,
资深JAVA应用软件开发工程师,17727,30000,Nanjing,No,Bachelor,3 years,23863,Private-owned,50-150,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
Java开发工程师,8181,12272,Nanjing,No,Bachelor,1 year,10226,Private-owned,150-500,E-commerce,Software engineer,low,,,,,,,
Java软件工程师（社招）,9545,15000,Guangzhou,No,Bachelor,1 year,12272,State-owned,1000-5000,Transportation,Database Engineer / Administrator,medium,,,,,,,
后端开发工程师（java）,10909,13636,Guangzhou,No,Bachelor,2 years,12272,Private-owned,Less than 50,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java开发工程师,8181,12272,Hangzhou,No,Bachelor,1 year,10226,Private-owned,Less than 50,Computer services,Software engineer,low,,,,,,,
JAVA WEB 工程师,22000,22000,Nanjing,No,Bachelor,3 years,22000,State-owned,1000-5000,Communications/Telecommunications/Network equipment,Software engineer,medium,,,,,,,
Java开发工程师,9545,13636,Xiamen,No,Bachelor,2 years,11590,Private-owned,Less than 50,Computer services,Software engineer,low,,,,,,,
高级Java开发工程师,24545,34090,Hangzhou,No,College degree,5 years,29317,Private-owned,Less than 50,Computer Software/Hardware,Senior Internet Software Development Engineer,high,,,,,,,
Java开发工程师,22000,22000,Nanjing,No,College degree,3 years,22000,Private-owned,1000-5000,Communications/Telecommunications/Network equipment,Software engineer,medium,,,,,,,
Java开发工程师,8181,10909,Foshan,No,Bachelor,1 year,9545,Private-owned,150-500,Finance,Software engineer,low,,,,,,,
Java高级开发工程师,19090,27272,Guangzhou,No,Bachelor,5 years,23181,Foreign(EU & US),500-1000,Computer services,Senior software engineer,medium,,,,,,,
Java开发工程师,12272,20454,Foshan,No,College degree,2 years,16363,Joint venture,5000-10000,Banking,Software engineer,medium,,,,,,,
Java开发（springcloud  杭银）,12272,20454,Hangzhou,No,Bachelor,2 years,16363,Listed,5000-10000,Banking,Software engineer,medium,,,,,,,
中高级JAVA开发工程师,10909,16363,Guangzhou,No,Bachelor,3 years,13636,New,Less than 50,Computer services,Senior software engineer,medium,,,,,,,
Java开发工程师,9545,13636,Huizhou,No,Bachelor,2 years,11590,Private-owned,50-150,Computer Software/Hardware,Internet Software Development Engineer,low,,,,,,,
Java高级开发工程师,20454,27272,Hangzhou,No,Bachelor,3 years,23863,Private-owned,50-150,Engineering,System architect,medium,,,,,,,
Java开发工程师 (职位编号：02),10909,13636,Guangzhou,No,College degree,2 years,12272,Foreign (except EU & US),50-150,Real estate,Software engineer,medium,,,,,,,
Java开发工程师,8181,13636,Chengdu,No,Bachelor,3 years,10908,Private-owned,Less than 50,Communications/Telecommunications/Network equipment,Software engineer,low,,,,,,,
Java开发工程师,8181,13636,Wuxi,No,College degree,2 years,10908,State-owned,Less than 50,Finance,Software engineer,low,,,,,,,
中级JAVA工程师,20454,27272,Foshan,No,Bachelor,2 years,23863,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
JAVA软件开发工程师,10909,13636,Nanjing,No,Bachelor,3 years,12272,Listed,150-500,Electric,Other,medium,,,,,,,
（粤语）高级java开发工程师,17727,23181,Guangzhou,No,Bachelor,3 years,20454,Private-owned,50-150,E-commerce,Senior software engineer,medium,,,,,,,
Java开发与实施工程师（成都）,10909,16363,Chengdu,No,Bachelor,2 years,13636,Private-owned,50-150,Computer Software/Hardware,ERP implementation consultant,medium,,,,,,,
Java软件开发工程师,8181,10909,Wuxi,No,College degree,2 years,9545,Private-owned,50-150,Computer services,Software engineer,low,,,,,,,
高级Java研发工程师,13636,21818,Wuxi,No,Bachelor,2 years,17727,State-owned,150-500,Entertainment,Senior software engineer,medium,,,,,,,
高级JAVA软件工程师,13636,40909,Foshan,No,Bachelor,5 years,27272,Private-owned,Less than 50,Computer services,Senior software engineer,high,,,,,,,
java开发工程师,12272,20454,Hangzhou,No,College degree,2 years,16363,Private-owned,1000-5000,Finance,Senior software engineer,medium,,,,,,,
Java开发工程师,9545,19090,Guangzhou,No,Bachelor,3 years,14317,Joint venture,1000-5000,Electronic technology,Software engineer,medium,,,,,,,
Java开发工程师/区块链开发工程师,13636,20454,Changzhou,No,College degree,5 years,17045,Private-owned,50-150,E-commerce,Senior software engineer,medium,,,,,,,
Java高级开发工程师,13636,27272,Suzhou,No,Bachelor,5 years,20454,Private-owned,Less than 50,Furniture,Web front-end development,medium,,,,,,,
Java高级开发工程师,24545,34090,Chengdu,No,Bachelor,5 years,29317,Private-owned,150-500,Industrial Automation,Senior software engineer,high,,,,,,,
Java开发工程师,20454,27272,Chongqing,No,Bachelor,3 years,23863,Private-owned,Less than 50,Professional service,Senior software engineer,medium,,,,,,,
Java开发,8181,16363,Jiaxing,No,Bachelor,2 years,12272,Private-owned,1000-5000,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java开发工程师,13636,20454,Nanjing,No,Bachelor,3 years,17045,New,Less than 50,Communications/Telecommunications/Network equipment,Software engineer,medium,,,,,,,
Java高级开发工程师,13636,27272,Chengdu,No,Bachelor,3 years,20454,Private-owned,150-500,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java服务端程序,23181,47727,Guangzhou,No,College degree,3 years,35454,Private-owned,Less than 50,Professional service,Multimedia/Game Development Engineer,high,,,,,,,
Java工程师,9545,19090,Chengdu,No,Bachelor,3 years,14317,Private-owned,150-500,Computer Software/Hardware,Software engineer,medium,,,,,,,
JAVA 中级开发工程师,20454,27272,Guangzhou,No,Bachelor,2 years,23863,Private-owned,Less than 50,Electronic technology,Software engineer,medium,,,,,,,
Java高级开发工程师,10909,20454,Suzhou,No,College degree,5 years,15681,Private-owned,50-150,Industrial Automation,Senior software engineer,medium,,,,,,,
Java开发工程师,8181,10909,Changzhou,No,Bachelor,1 year,9545,New,Less than 50,E-commerce,Java Developer,low,,,,,,,
Java开发工程师（高薪急招+诚聘英才）,17727,24545,Hangzhou,No,Bachelor,1 year,21136,Private-owned,Less than 50,Electronic technology,Senior software engineer,medium,,,,,,,
java开发工程师,13636,20454,Chengdu,No,Bachelor,3 years,17045,Private-owned,150-500,Engineering,Java Developer,medium,,,,,,,
Java中级开发工程师,13636,20454,Guangzhou,No,College degree,3 years,17045,Private-owned,150-500,E-commerce,Software engineer,medium,,,,,,,
Java服务器开发工程师,15909,22727,Guangzhou,No,Bachelor,2 years,19318,State-owned,50-150,Publishing,Internet Software Development Engineer,medium,,,,,,,
Java后端开发工程师-南京,20454,27272,Nanjing,No,Bachelor,3 years,23863,Private-owned,50-150,Electronic technology,Senior software engineer,medium,,,,,,,
Java开发工程师,13636,20454,Suzhou,No,Bachelor,3 years,17045,Private-owned,50-150,E-commerce,Internet Software Development Engineer,medium,,,,,,,
Java高级开发工程师,13636,20454,Hangzhou,No,Not Required,3 years,17045,State-owned,150-500,Machinery/Equipment,Senior software engineer,medium,,,,,,,
